Index,Speech,ThemeLabel
2049,меня интересу вклады,4
5264,вам отправить письмо с просьбой о кредитных к ним шестьдесят дней,10
3861,я хочу узнать про интернет пароль чтобы совершить покупку,8
4998,пять пять общем,9
1423,звоните мне пожалуйста каждый день звонку опять,3
3905,я не могу войти в личный кабинет не могу войти в личный кабинет,8
1962,я не знаю нет мне звонили два раза я хотела бы узнать по какому поводу,3
8591,лимите по картам,18
1530,был звонок с этого с,3
3931,о новострой пароль для входа в интернет банк,8
10736,здравствуйте скажите пожалуйста мне получить уже новую карточку я заказывал о сторон уже сдавать не собой приносить ее,23
3810,ваш разговор будет продолжен пожалуйста оставайтесь на линии якобы лицензий в кассе нет ли в налоговом давай,8
7371,лимит операций,18
3119,узнать информацию по задолженности,7
11248,гк заявки на кредит,24
5145,ой вы знаете у нас ждите от кто то должен у него долго анкета заявление что то двести двадцать четыре пятьсот девяносто восемь,9
12886,как открыть счет для ип,31
12902,расчетные счета,31
573,алло меня интересует к где находится в банк и как мне можно подъехать,0
133,банкомате,0
5774,нет я поговорю кредит,10
6271,не при и банк,10
11495,хочу хочу с,24
968,некорректно работа банкоматов с,0
5457,какие документы нужно,10
7680,куда делись и деньги были переведены с карточки и не дошли до место,18
4541,зенит,9
10737,алло девушка я бы хотела о обещали сделать от от карты,23
9672,открытие вклада интересует снова,20
6356,здравствуйте меня интересует я где то нету проста вот на счет кредитования пенсионеров,10
712,где вы находитесь можно узнать в каком помещений этот,0
5899,мне надо,10
8932,меня интересует срок действия моей карты,18
10488,оператор оператор оператор,21
5749,течение кредита,10
2957,график платежей по кредиту,5
4390,в банк,9
3513,я не могу распечатать платежного поручения на клиент банк,8
664,неисправной банкомата,0
8660,разблокировка аккаунт,18
13029,тарифы по расчетного счета,31
9102,код двести девяносто восемь сорок девять сто восемьдесят восемь,18
4883,я не дебетовой карты,9
10024,соедините меня со специалистом,21
49,снятие наличных с банкомата гастроном банка с комиссией без,0
1380,у меня пропущенный звонок на сайте,3
2429,интересует такой вопрос сколько действует положительный решении банка по ипотеке,5
7798,я потеряла карточку девушка ответьте,18
11932,нет я хотел взять кредит,24
12054,кредит хотел,24
12067,кредиты для пенсионеров наличных,24
7425,меня интересует баланс карты моего мужа,18
7197,действующих вклада,17
2528,кредит кредит,5
730,интересует адрес ближайшего отделения банка,0
7333,оплата интернет,18
10693,я потеряла карточку хотела бы узнать восстановить карточку,23
2131,надо положить евро на вклад,4
12842,информация о расчетного счета,31
8561,алло я не смогла получить деньги в банкомате пришла смс что не полученных сняты,18
1306,вопрос по клиент банку пишет что аккаунт заблокирован,2
2214,ставка при рублевый вклады,4
2338,мне нужно снять мой вклад снять свой вклад,4
12,отделение,0
7793,проблема с оплатой по карте,18
551,адреса филиалов вашего банка город омск,0
2052,условия бы это в вклада накопительный,4
10866,у меня кончается срок феврале месяце,23
6330,операции по кредиту,10
1669,а как мне был звонок от вас,3
6433,ну что мне дали и,11
12449,алло добрый день девушка мне кредита одобрять я просто я не могла по состоянии здоровья подъехать,27
1335,блокировка счета,2
4590,отказ от карты отказ от карты,9
6873,курсы валют вологде,14
10882,было ли зачисление на карту,23
12526,алло здравствуйте по поводу кредита,27
9568,открытие вклад,20
3032,тарифы за перевод денежных средств,6
8433,на заправке оплатила с карты,18
8432,автомат по карте,18
2707,досрочное гашение,5
7432,оплата обучения,18
8911,я потеряла карту вернее в программе кошелек это было в прошлом году получается где ты шестнадцать из,18
4302,для карт по карточке банк,9
9200,по какой текущий карты,18
4891,а что по поводу карт,9
1420,метро нет не звонок у меня,3
8406,а проведение платежа,18
12366,у нас нет связи с интернета не работает терминал хотим узнать причину,25
5435,здравствуйте мне кредит,10
3,адреса офисов,0
4496,интересует банковская карта,9
10194,консультация мили,21
6295,помощь по кредиту,10
10152,нет не хочу связаться со специалистом,21
1087,филиал банка на улице какая там,0
9257,у меня лимит карты закончился где тысячи восемнадцатого года в этом году хочу поменять карточку и при для,18
5179,не предлагали кредит,10
9713,соедините с консультант,21
10110,мне нужно связаться с оператором у вашего банка,21
1713,сейчас был звонок ну я это не успела прочитать и не так нажала,3
6175,вы сейчас ты,10
5747,только тринадцатого,10
7222,я хотела бы с не деньги с заказать,17
11119,мне пришла смска с кодом не для получения кредита,24
7207,хочу заказать деньги,17
5866,какой,10
5311,меня кредит,10
4648,тур,9
6577,курс доллара на сегодня продажа,12
9783,говорить с сотрудником,21
2618,по действующим кредиту по день,5
6763,кредит франк,14
6469,по кредитной карте алло,11
939,график работы от,0
11407,хотел бы узнать по кредиту,24
5670,какой на кредит,10
1353,хочу заблокировать,2
11682,хотели бы,24
3607,логин и пароль интернет банк,8
11675,я хотела году кредит,24
7640,заблокирована карта,18
12403,меня интересует претензии по списанию комиссии,26
2452,у меня вопрос по действующим кредитов,5
6620,можно ли у вас купить доллар,12
12490,здравствуйте ей меня интересует вот,27
7419,по действующей карте у меня действующих карта которую не пополняется пенсии,18
12587,ой здравствуйте,27
1159,режим работы самара,0
1780,как как то вы мне позвонили и,3
7683,разблокировать карту надо мне,18
351,ближайшие адрес,0
12716,вашем банке я бы хотела снять проценты это возможно сегодня,29
2928,вопрос по моему кредиту,5
6087,скимминг билет кредит,10
5160,у меня на карточке не в минус я хочу знать почему,9
5043,она она у меня есть уже,9
6402,меня интересует кредитные карты,11
12460,здравствуйте я по ней,27
7789,по поводу с карточки списали мне финансов,18
3046,я хотела бы узнать перевели денег или деньги на мой на мою карточку о с да да да,6
12405,отдайте претензии,26
958,где находится банк в саратове ваш организации,0
3418,хочу узнать когда истекает срок счет,7
8899,надо платежки провести контроль банка,18
12540,здравствуйте и им с,27
11340,я бы хотела проконсультироваться по поводу кредита,24
8113,да что как сделать мне нужно отозвать платеж по счету по банк,18
4039,интересует информация о кабинет,8
11770,меня интересует оформление кредита,24
11623,мне нужно узнать э э справку о получении о погашении кредита,24
3345,мне нужно узнать ищем задолженность по карте,7
2564,по действующим,5
13201,мне прислали заказ на письмо в что справочка доходах физического лица я хотел бы узнать что это такое,33
9969,оператора давай,21
1243,меня интересует адрес центрального отделения,0
4561,с кем мне надо,9
11393,а я по поводу кредита хотел узнать,24
9679,я бы хотела узнать это процентную ставку на доллары у меня заканчивается вас от срок вклада,20
6088,почему я еще должна,10
10671,перевыпуск карты зарплатной,23
9311,мы не можем заплатить кредит терминал не работы,18
8418,меня интересует то что у нас по пришла мне что то пришла банк не код на алло ничего из,18
12271,хотел оформить кредит в вашем банке,24
7198,мне надо заказать сумму для снятия,17
5277,кредиту через онлайн,10
3267,нас интересует за задолженность по кредиту,7
6112,это что кредит,10
4087,он онлайн банк,8
7509,да лимит карты,18
320,адрес банка на улице на торги как,0
5477,у меня по кредиту,10
10127,меня интересует оператор банка,21
3478,как поменять и номер телефона в личном кабинете,8
7716,мне на платежа,18
6235,кредитные программы,10
2952,здравствуйте отправлял сегодня днем две два платежа и они,5
4497,деньги там на,9
4041,нет интересует создать как создать к для работы в интернет банк,8
8144,мне на карту перечислили заработную плату,18
9902,хочу пообщаться с сотрудниками банка,21
5230,кредита,10
9002,отказ в оплате по карте,18
4763,я могу у с этой картой снять с,9
6180,меня интересует когда ставка,10
11123,я делал заявку на кредит он лайн,24
3582,здравствуйте интересует восстановление пароля интернет банку,8
10163,звонок оператора,21
2602,можно узнать о досрочном погашении,5
12710,хотел узнать процентную ставку банка,29
11523,мне нужно узнать сколько у меня осталось долгу за кредит,24
8036,по действующей карта лимит карты,18
11428,как дала заявку на кредит какой,24
5808,мне как номер прошел по по вашим никакой кредит,10
3103,задолженность по кредиту задолжность по кредитам,7
8759,почему то пишет превышен лимит,18
67,меня интересует расписание банка город уфа улица то плата не,0
744,адрес для отправки корреспондентской,0
4759,интернет по,9
5482,алло вас есть,10
2314,вклад по депозиту,4
12580,не здравствуйте,27
9091,интересует как изменить пин-код карточки,18
9906,я хочу консультации,21
12315,пос терминал,25
7521,а кредит пин пенсионный пенсионерам,18
6742,алло вклад валюты,14
9368,не знаю как сформулировать ну давайте обслуживание кредитных карт в нем,19
9605,вклад мобильный открыла,20
8473,остаток баланса на карте,18
10784,можно сделать карточку,23
985,часы работы офиса торгово двадцать девять алло,0
9789,не хочу поговорить со специалистом,21
11254,хотела бы сделать заявку на кредит,24
7629,мне нужно как заявление что написать о том что все оплачено и не долгу по счету,18
10054,а соедините с оператором,21
630,находится,0
9590,процент по вкладу доходности,20
3211,узнать задолженность по карте,7
6246,алло алло это,10
5769,алло интересует потребительский кредит,10
10534,мне нужно пообщаться с оператор,21
10910,какие документы нужны для подачи заявки на кредит,24
9937,оператором соедините,21
1708,был звонок с ним,3
12837,мой лицевой черты расчетный счет,31
13236,юридические лица,35
808,адрес подскажите пожалуйста в перми банка,0
7364,мне сегодня пришла смска по поводу переведены не денег на карту,18
1889,вызов алло позвонили мне пропущенный алло,3
8887,карточка не возвращает,18
2063,вклад мобильный интересует,4
9010,операции по карте,18
11492,кредит получить,24
2202,мне по вкладу узнать,4
141,филиала банка,0
3877,забыл логин для входа в клиент банк,8
678,связаться с офисом на видимо где нина,0
1786,ленте вы сейчас позвонили на телефон,3
5603,какой формат,10
8652,восстановить пин код кар,18
11213,я хочу взять кредит я хочу взять кредит,24
1908,работе звонок,3
5759,рус по кредиту,10
1381,не уже несколько раз звонили по этому,3
6973,банкомат карточку зажевало,16
12514,подключенных здравствуйте мне бы как узнать хотел бы там ваш счет банка,27
12080,взять кредит хотела,24
4637,мне на карту,9
9692,открыть вклад в вашем банке на год в рублях,20
12640,кредитную карту оформить,28
4927,мы карточку,9
8934,у меня были списаны средства на моей зарплатной карты узнать да с почему,18
3652,консультация по телебанку,8
3438,забыл пароль,8
3920,неверно пароль сказала надо сменить пароль,8
6979,я оставил свою карту в банкомате,16
4702,карты и,9
8167,прислали зарплата на мою карту,18
10578,а скажите пожалуйста здравствуйте можно меня соединить с оператором алло по поводу кредита поговорить,21
4461,счет на карте,9
5815,меня интересует кредит от восемь я на линии,10
6475,карта кредитная,11
6318,чего в кредите меня отказала,10
5766,да совершенно верно,10
1196,дополнительный офис,0
12961,оставлял девушка закрытии счета для ип,31
4972,имеет карты,9
10011,мне мне нужно связаться с оператором,21
2109,меня интересует какая сейчас ставка на вклад накопительный плюс на год,4
6507,действующей кредитная карта,11
13159,меня интересует информация о реквизитах банка в котором у меня есть счет у меня есть вопросы по реквизитам,32
7960,не могу рассчитаться код карты,18
925,курс доллара на сегодня где можно купить в кемерово,0
4031,киевское поддержка нужно,8
6951,банкомате у себе на по я карту засунул в банкомат так и не работает что нужно сделать,16
12695,процентная ставка,29
6153,по поводу кредитования,10
6124,счет кредита,10
3143,общая задолженность,7
10668,как открыть карту,23
6453,по вопрос по кредитной карте,11
12763,меня интересует вопрос открытие счета,31
2783,как закрыть погашенной кредит,5
9354,хотела узнать информации насчет кредитной карты,19
6946,банкомат забрал карточку и не не выдает ее обратно,16
12071,я бы хотел подать заявку на кредит,24
8318,не чем проблема по нему оплате кредита,18
8533,я говорю сколько я должен и когда должен заплатить,18
3076,девушка здравствуйте мы отправляли по интернету заявочку да пришла смска что вам одобрена прийти банк подскажите как получить деньги в скажи,6
11230,я еду мне я хотела узнать поступление денег кредит,24
8310,я вчера оплатила в автомате платеж,18
2045,алло по вкладам,4
4568,что что,9
7543,разблокировать карточки,18
3169,отдел по работе с кредит алле меня интересует с действующими просрочена мили дочь,7
1479,пропущенный вызов этого номера,3
5582,нет нет на а я отправляю при кредит,10
8148,вопрос по текущим карте,18
5748,да кредит,10
6258,как банка брать кредита,10
5445,меня интересует алло меня интересует доходы кредит,10
1293,по поводу блокировки карты,2
10835,как изменить номер телефона привязана карта,23
4868,забыл карте на имя из,9
7766,уточнить ежемесячный платеж по кредиту,18
6666,купить евро меня интересует,13
5695,есть то еще кредит,10
12043,да да я вот я позвонила а то молчат мне мне нужно узнать не пришли деньги мне не за кредит,24
370,мне нужно связаться с отделением банка но брусника,0
490,узнать адреса,0
8880,пришла смска что на карточке меня с тысячи,18
705,отдел отделения банка,0
10415,с оператором можно связаться,21
3037,какой будет процент с перевод перевод денег с одного счета на другой,6
12785,нет расчетный счет,31
11343,решение по заявке на кредит наличными,24
6036,что позвонить по это долго,10
12500,алло здравствуйте у нас интересует как ой эквайринг,27
1075,график работы банка алло я те,0
12699,процентная ставка увеличивается на каком основании хотела бы уточнить,29
1855,а я вам вопрос не давало мне я бы хотела на улице оплата по звонил я открыла смотря потом позвонил я переводила,3
8411,платеж не проходит,18
6457,мы можем,11
1471,я не знаю кто то по звонил по этому номеру,3
9531,вклад вклад вклад,20
9355,хотел бы узнать информацию по кредитным картам какой процент какой лимит какой годовое обслуживание,19
4409,по своей карте,9
2856,остаток по кредитному договору,5
1247,можно ли положить банкоматах альфабанка деньги,0
5890,кредитной,10
2645,мне нужно сумма задолженности для досрочного погашения кредита,5
4847,не знаю,9
3391,реструктуризация э по кредиту,7
6298,забыла по кредиту,10
3766,интернет банк не работы,8
8174,от действующей картам вопрос,18
12739,здравствуйте мне бы узнать насчет процентные ставки можно у вас,29
5911,автокредитование,10
8341,я перезвонил связи с тем что на мой телефон поступила вот это звонок от,18
10652,окно платежное поручение,22
8699,алло добрый день и вот денежку на телефон добраться,18
9619,процентов вклад,20
9536,открыть вклада,20
3306,а я у меня не задолжность я вчера была банке,7
6881,мобильный банк,15
3525,служба техподдержки,8
9131,мне просто текущий карт,18
12799,хотела бы узнать расчетный счет,31
11083,нас интересует какие документы нужно с предоставить вас банк чтобы взять кредит,24
11476,хочу,24
913,офис в оренбурге,0
8091,снять остаток на карте,18
9803,так это автомат говорит или живой человек соедините пожалуйста,21
12481,здравствуйте меня интересует подключение смс оповещения,27
9555,мне нужно узнать когда мне снимать проценты по вкладу,20
12302,меня интересует работа э терминала у меня терминал не работает от вашего банка,25
10950,взять кредит,24
10256,не менее оператор,21
2817,по действующим кредит по десять,5
11322,какие взять кредит,24
10861,пришли денежный,23
6992,извините пожалуйста мне сегодня карточка не сегодня карточка застряла в банкомате,16
2566,платеж по платеж по кредиту действующему,5
4256,да слышно алло да да да да,9
10486,чаще оператор,21
13232,отдел эквайринга,34
622,кому обращаться,0
10108,соединить со специалистом,21
11237,узнать расчетный счет счет своего кредитного договора,24
1287,мне нужно заблокировать карту,2
5313,заявочку на кредит подать,10
10990,деньги еще не дошли я просто хотел,24
6495,обслуживание кредитные карты обслуживание кредитные карты,11
5471,тем что кредит,10
7526,так вот пришел пенсии на это мне на карте это и без индекс акции почему то,18
5636,я уже,10
12342,терминал не выдает к сумме ленту,25
6415,с,11
7362,по действует карт,18
5883,спасибо,10
2740,автокредиты какой процент по акции покупка акций,5
13207,работа с физическими лицами,33
1433,да мне вчера звонили из вашего банка,3
5957,меня интересует до по кредиту,10
13076,по действующей карте хотели бы узнать счет на,32
9022,есть ли сейчас действуют,18
7609,лимит по новой карте,18
9053,положил деньги на карточку в москве,18
5048,карточку в ухте,9
12598,будьте здравствуйте,27
10133,решение с менеджером,21
1403,мне звонили с этого все вопросы по кредитным картам это мне на заявка давал на кредит на кредит,3
3369,я хотела узнать о просроченной задолженности,7
8866,как оплатить интернет банковской карты,18
10805,дата открытия банковской карты,23
8112,отозвать платеж поз,18
11609,звоню чтобы от рефинансирование,24
8836,мне надо мне получить,18
6878,не могу подключить мобильный банк,15
1382,мне поступило от вашего банка звонок приложение,3
4060,работа интернет банком,8
2909,поступила ли оплата по кредиту,5
4163,расчетно кассового служба,8
3828,установка интернет банк про,8
10544,необходима консультация специалиста,21
11491,мне пришла смска что я могу обратиться ваш банк для получения кредита мне хотелось бы узнать адрес банка,24
9505,мне бы хотел узнать какой процент более пятисот тысячи например на депозит три месяца,20
421,номер офиса в городе не финансы филиал вашего банка,0
1680,мы хотели на связь сейф там с звонок формат я потом повторяю,3
6806,обмен валюты евро,14
3467,забыли пароль к,8
4720,перед карт проспект плохо,9
11738,я хотела бы взять кредит,24
4514,или пять ну за за интернет,9
7042,что ж не с банкомата в универмаге в не только не работает у вас,16
5430,кредит пятьдесят три,10
3422,какая то задолженность у меня вдруг,7
8901,ага интернет платежи,18
10522,оператора надо со счета,21
4695,что в не жду,9
2512,по погасить полностью кредит,5
5786,не слушаете да,10
7597,меня интересует снятие наличных счета с обычно моего счета,18
10077,нас интересует связаться с оператором,21
11315,получение кредита хочу взять,24
3059,перевод денежный средств с карты другого банка,6
8767,у меня интересует оплата по квитанции вот у меня квитанции лежит я хочу разобраться с ней,18
1955,пропущенный звонок от ориентира,3
10553,здравствуйте как мне связаться с оператором,21
6494,меня интересует информация по кредитной карте,11
6021,поломка как бы алло,10
231,меня интересует адрес ближайшего,0
1447,че то мне звонили я не понимаю я не понял что звонили,3
325,меня интересует бик номер телефона узнать э челябинского филиала который то кирове улицам находятся,0
1302,заблокировать,2
13025,расчетный счет инвалид,31
5517,кредит стороны сто тысяч вот и мне,10
4296,которого,9
13165,и пол года номер счета,32
8991,оплатить счет,18
10109,консультация интересует,21
2697,меня интересует почему у меня платеж увеличен за кредит,5
13127,узнать реквизиты вашего банка,32
7749,нужно получить ответ почему не снимаются ареста мои денежные средства,18
3903,ваш разговор будет продолжен пожалуйста оставайтесь на линии якобы с деньги в кассе нет ли с волгодонска лайн,8
13200,физическим лицам,33
12409,ответ на претензия,26
5045,то,9
3179,где есть не пенни даете,7
7704,лимит по интернет карта,18
5908,это все перезвонить,10
8538,но с ежемесячного платежа,18
8687,я хочу положить на карточку деньги,18
2462,перенос платежа по действующим кредиту,5
12606,добрый день я,27
3208,нет по задолженности,7
9970,эту пятого оператора,21
10026,хочу поговорить с оператором,21
9797,седьмого с оператор,21
6360,да мне смска пришла о,10
12361,терминал не выдает,25
9667,вклад открытие открытие,20
9324,меня интересует меня я как у меня кредитная карта есть я это немножко то там ли вы с платежом не,19
4489,надо было,9
8397,оплата восемь,18
5660,одобрен ли кредит,10
961,меня интересует узнать адрес ростове на дону,0
10099,единиц сотрудник,21
10367,девушка с оператором бы хотела связаться,21
1715,алло вашего телефона мне звонили сегодня,3
7630,форме платеж,18
4832,на на,9
10020,я хочу поговорить со специалистом,21
4221,алло с карты хотел,9
5607,а в кредит,10
12360,проблема со снятием наличных терминал,25
5388,кредит я сейчас я сегодня плачу,10
4645,меня есть карта,9
7797,узнать насчет карточки о работе,18
11953,хочу получить кредит,24
9919,хочу поговорить с человеком,21
11985,запрос по кредиту,24
10555,поиск были шестьдесят любой освободившимся оператор,21
10954,оформить кредит на,24
7907,я пришла заплатить кредит он деньги сожрал карту и все,18
8400,активировать,18
5288,че то,10
8285,остаток перевода с карту,18
7114,обслуживание текущий,17
5312,нет потребительский кредит,10
6819,вклады вклады в валюте,14
7008,у меня застряла в вашем банкомате,16
11968,получение кредита получение и,24
5605,меня интересует насчет кредита,10
4973,переводы с карточки на карточку,9
2001,вклад накопительный,4
7528,мне нужно почему то есть перевел деньги еще не не пришли там у человека,18
8800,информация по действующей карте,18
3925,поддержка с кореневым,8
4636,у меня почему то как,9
1533,значит мне был звонок,3
1540,а вы меня не звонили,3
4643,две тысячи карта,9
8620,день действующей карты,18
1060,работает ли завтра офис на карла маркса три,0
7802,пришла смска на телефон,18
110,нахождения офиса в город пароль,0
1762,мне звонили по как мне звонили я перезвоню включить зачем,3
11286,с москвы пришла по получению кредита можно с кем нибудь проконсультироваться,24
9098,здравствуйте у меня интересует нет что пришла смска с каким то кодом что сообщить нужно банке,18
9313,не могу активировать карту,18
3250,меня интересует остаток моей суммы ваши задолженности,7
6699,приобретение валюты,14
2655,кредит и платеж по кредиту,5
10991,а заявка на кредит на получение кредита,24
5139,пластиковые,9
10167,здравствуйте меня интересует с у меня пятьсот рублей сняли звонил диспетчер к системе,21
10903,получить карту по лучше,23
8479,был перевод на мой счет с банка втб двадцать четыре деньги не пришли,18
3602,как открыть личный кабинет,8
5553,пятьдесят тысяч мне нужно кредита,10
11242,получение к получению кредита,24
6598,мелкие купюры есть доллара,12
6717,валютный,14
4649,фирма карта,9
11692,я хочу я хочу закрыть кредит хочу узнать какая,24
3964,опиф на без перед его,8
332,меня интересует какой адрес давать нотариусу,0
7413,лимит карты лимит карты,18
6212,кредитной истории,10
37,мне необходимо связаться с дополнительным офисом говорить с кем,0
2527,меня интересует оплата по кредиту,5
10770,я хочу забрать готовую карточку,23
338,адреса отделений в,0
6428,кредитной карте овердрафта,11
3921,интернет банк физических лиц,8
4953,информация по моей карте,9
10304,необходимо связаться с операционистом,21
7784,информация по действующей карте действующая карта,18
11466,и взять новый кредит,24
7753,я решила сегодня проверить баланс по карте,18
3978,интернет пароль,8
9328,ну как да меня кредит,19
5930,да до вас по кредиту,10
4882,карта есть карта вопросы по,9
8529,посылать смс код,18
1688,сейчас мне звонили,3
10529,хотел бы соединиться со специалистом,21
8992,оформить не года где примет на карте лимит карты,18
360,город казани проспект победы пятьдесят бы банкомат не принимает наличные в чем дело,0
12220,кредит я хотел,24
310,меня интересует где находится отделение банка,0
6862,когда у вас идет ли мне на костин во сколько курс применяется,14
8738,оплата через банкомат с ошибка,18
1157,саратове отделение банка саратов,0
3136,просрочена задолженность,7
5092,счета вот мы сумму,9
12949,мне необходимо узнать в тарифы обслуживание расчетного счета,31
877,я положила сейчас деньги на счет у меня не карточку банкомат недодал мне денег не видно и сама с карты,0
11399,нет что смска что что мне нужно третий банк для получения кредит,24
1204,как банкомате сделать переход,0
12037,уточнить поступили ли мои деньги,24
6340,и тур,10
10752,меня заканчивается срок действия карты,23
13179,номер счета с карты,32
10382,разговор с оператором кредитной истории,21
8769,мне нужна информация по карте можно ли ее разблокировать,18
11239,восстановить по поводу кредита я хотела бы узнать подробно,24
2509,нужен остаток по кредиту нужен остаток по кредиту,5
10583,платежных поручений,22
1582,просто информация то звонок,3
9199,дайте не приходит баланс я то,18
6600,подскажите пожалуйста могу купить доллары пятьдесят семь,12
3814,я не могу зайти в интернет банк,8
4852,алло нас вопрос по карте,9
6693,какие евро поменять,13
9732,алло меня интересует разговор с оператором по поводу выписок банка,21
7094,алло у меня карточка в банкомате застряла он карточку принял а на дисплей и чего то виде,16
3271,при курьер мне задолженность,7
3930,нужно пароль,8
13219,другого эквайринг,34
2398,пожалуйста оставайтесь на линии якобы с деньги в кассе нет ли с кодом давай,5
4951,чем карта,9
6189,скажите пожалуйста ставочка по кредиту можно как то меньше,10
12384,что то перестал работать терминал,25
5470,алло мне нужен кредита,10
6144,приложение на кредит,10
8137,нет не оформить оплатить,18
4952,вопрос по обслуживанию карту,9
2008,насчет вклады,4
12164,про кредит узнать,24
10819,заказывала карту он лайн мне перезвонили,23
12198,если получение кредита,24
9556,открытие и закрытие вклада,20
810,где находится действующих филиал этого банка на левом,0
7426,по действующей карте вопрос вопрос по действующей карте,18
6595,курс валют доллар,12
12906,работа с расчетном счета,31
5634,меня интересует кредита,10
10906,получить карту хотел,23
11955,хочу взять кредит хочу взять кредит,24
5834,отдел кредитования,10
4382,не надо мне надо мне ни карт ничего не,9
2522,как заплатить кредит,5
3865,у меня с я не могу с зайти в личный кабинет,8
5076,можно отключить их,9
4174,мне нужно подключить интернет банк,8
6141,выдачи кредита,10
3890,смска поддержка узнать банка,8
8729,сколько платить сумму за,18
7796,погашение в г закрытие карты карта что кавказкая ч карточки,18
5879,сумма кредита,10
440,ближайший офис,0
8559,истории платежи за декабре,18
2093,хорошо номера да да,4
1399,да мне звонили в пятницу,3
311,как и чип это этот еще положу деньги в банкомат и могу ли что за этого добиться ли городе кредита,0
10689,не прошел код сказали прийти банк получить кредит,23
7873,мне пришла смска что одобрен кредит карта прийти в,18
10281,связаться с сотрудником по кредиту,21
10220,соединение с с оператором,21
2687,по платежу,5
1846,мне звонили получение кредит,3
302,ваш адрес,0
9724,а интересует разговор с оператором,21
3081,да золотая корона,6
7995,поступление денежных средств на счет,18
13143,номер счета хотели узнать,32
2139,нижнем тагиле,4
3776,интернет банк лизинг,8
4400,о переводе с карты,9
6018,не не кредита,10
4900,меня интересует обслуживание по карте привязка сотовый телефон,9
